"In labour force","UK",61.5,61.3,60.9,62.0,60.7,61.3,60.0,59.2,59.7,58.9,60.8,61.5,60.5,61.8,60.5,61.3,60.1,59.5,60.8,59.6,59.4,57.2,57.6,57.8,58.2,57.7,57.3,60.5,61.4,61.0,60.3,59.4,58.9,59.0,58.2,60.7,63.1,60.0,60.7,62.2,62.8,59.3,60.1,61.7
"In labour force","Other nationalities (7)",87.9,89.9,81.3,83.6,85.9,86.1,89.2,91.0,89.7,87.5,86.2,87.0,89.7,86.4,80.9,82.4,83.8,82.4,81.0,86.5,88.1,83.1,84.2,84.1,82.0,81.3,84.0,87.8,93.2,88.3,89.1,95.2,96.8,92.5,94.0,94.0,106.5,105.2,107.5,109.0,115.5,108.2,109.8,112.5
"In labour force","EU15 to EU28 states",124.2,137.6,159.6,171.4,177.7,181.6,188.1,187.7,186.7,179.7,177.1,174.2,171.7,163.5,159.0,155.5,154.4,157.0,152.8,156.4,155.4,152.8,153.5,153.2,154.1,151.7,153.0,151.7,152.4,152.0,152.4,150.3,149.5,149.2,150.2,152.3,152.1,152.2,150.6,157.2,153.5,152.3,155.7,155.6
"In labour force","EU15 excluding Irish and UK",34.3,33.8,34.0,33.2,35.4,33.6,34.8,34.7,35.9,34.9,35.3,38.5,36.9,35.3,34.5,34.9,32.9,33.4,32.8,33.3,32.9,32.1,31.0,32.8,32.5,32.0,30.0,31.6,31.4,30.8,27.5,25.8,23.8,22.0,19.9,20.8,19.4,18.2,18.0,22.3,22.3,22.4,23.5,25.0
"In labour force","All nationalities",2183.5,2180.8,2211.4,2243.6,2277.1,2260.6,2260.0,2278.3,2300.1,2257.2,2225.9,2248.9,2242.4,2198.7,2176.0,2198.7,2196.7,2168.2,2149.4,2178.7,2173.7,2161.5,2146.9,2159.1,2165.8,2143.5,2137.5,2170.7,2182.1,2163.1,2146.3,2156.1,2172.4,2152.5,2142.4,2169.9,2186.0,2170.5,2156.0,2202.7,2218.2,2195.6,2191.4,2204.5
"Not in labour force","Irish",1132.3,1162.9,1156.6,1148.9,1134.5,1164.3,1182.9,1173.3,1157.5,1197.0,1233.9,1218.9,1223.8,1261.0,1275.1,1254.0,1253.7,1283.6,1299.4,1279.3,1284.4,1285.7,1302.0,1290.4,1284.4,1302.8,1309.8,1275.0,1269.8,1284.1,1298.3,1287.8,1272.2,1284.8,1296.8,1273.3,1275.3,1286.8,1306.4,1280.2,1279.3,1294.3,1310.2,1312.2
"Not in labour force","Non-Irish",98.8,102.7,104.8,105.7,109.0,118.8,118.9,123.3,124.7,134.9,134.0,132.3,132.7,139.7,147.9,145.6,148.4,147.2,150.2,141.1,140.0,147.5,144.8,141.5,145.3,150.2,147.2,140.6,140.9,150.3,151.9,150.0,151.0,164.6,168.1,163.9,152.0,161.2,163.8,154.8,151.1,164.9,164.7,165.2
"Not in labour force","UK",37.9,38.0,38.3,37.3,39.4,39.5,41.5,42.6,42.2,43.1,41.1,40.6,42.0,40.9,42.4,41.9,43.2,44.0,42.7,43.9,44.0,46.0,45.4,45.0,45.0,45.4,45.7,42.9,42.4,43.5,44.7,45.6,46.9,46.9,47.1,45.4,43.6,47.0,47.7,46.7,45.7,50.3,49.8,47.4
"Not in labour force","Other nationalities (7)",40.5,42.3,39.8,39.1,39.1,41.0,39.7,39.1,41.2,44.4,46.2,46.5,43.7,46.3,51.2,49.3,49.1,51.7,53.5,49.2,47.9,52.4,51.5,51.9,56.0,56.4,56.3,54.6,55.0,61.0,62.0,58.5,58.5,69.9,70.6,68.9,62.7,67.6,71.4,63.8,57.7,64.5,66.4,67.5
"Not in labour force","EU15 to EU28 states",13.1,14.1,18.7,20.4,23.0,28.4,28.7,31.7,31.6,35.5,34.5,34.9,35.0,40.0,41.6,42.6,42.6,38.8,41.3,36.3,36.6,37.8,36.2,35.5,34.3,37.0,34.8,34.8,35.1,36.2,36.0,37.1,39.3,40.1,43.0,42.2,38.7,40.4,39.0,39.1,42.3,43.2,41.1,44.1
"Not in labour force","EU15 excluding Irish and UK",7.2,8.3,8.0,8.9,7.5,10.0,9.1,9.8,9.7,11.9,12.2,10.3,11.9,12.6,12.7,11.8,13.6,12.8,12.8,11.7,11.5,11.3,11.7,9.1,10.1,11.5,10.5,8.3,8.4,9.5,9.1,8.8,6.4,7.7,7.3,7.3,7.0,6.2,5.5,5.2,5.4,7.0,7.4,6.3
"Not in labour force","All nationalities",1231.1,1265.5,1261.4,1254.6,1243.4,1283.1,1301.9,1296.6,1282.1,1331.8,1367.9,1351.3,1356.5,1400.7,1423.1,1399.5,1402.1,1430.8,1449.6,1420.4,1424.4,1433.2,1446.9,1431.9,1429.7,1453.0,1457.0,1415.6,1410.7,1434.3,1450.2,1437.7,1423.2,1449.3,1464.9,1437.2,1427.3,1448.0,1470.2,1434.9,1430.3,1459.3,1474.9,1477.4
