"Transport","China","Exports of Services (Euro Million)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Transport","China","Imports of Services (Euro Million)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Transport","Germany","Exports of Services (Euro Million)",74,0,0,89,156,172,239,300,329,336,106,100,824,843
"Transport","Germany","Imports of Services (Euro Million)",52,59,65,112,126,120,91,92,95,91,108,86,87,95
"Transport","Spain","Exports of Services (Euro Million)",0,82,0,84,193,229,0,471,507,528,100,96,329,437
"Transport","Spain","Imports of Services (Euro Million)",0,0,0,35,35,34,0,29,28,27,31,50,51,56
"Transport","France","Exports of Services (Euro Million)",0,0,0,87,99,93,0,93,112,108,107,103,448,463
"Transport","France","Imports of Services (Euro Million)",0,0,0,60,63,62,0,49,51,48,55,70,71,78
"Transport","United Kingdom","Exports of Services (Euro Million)",1062,1219,1437,1638,1903,1950,0,2088,2506,2726,3822,4144,2276,2355
"Transport","United Kingdom","Imports of Services (Euro Million)",474,524,559,581,621,590,459,492,522,511,539,579,528,504
"Transport","Italy","Exports of Services (Euro Million)",0,0,0,84,156,177,261,336,361,370,100,96,385,397
"Transport","Italy","Imports of Services (Euro Million)",0,0,0,40,41,40,0,33,35,32,38,49,50,55
"Transport","Japan","Exports of Services (Euro Million)",4,4,4,4,4,4,0,4,4,4,4,4,3,0
"Transport","Japan","Imports of Services (Euro Million)",104,93,91,66,58,42,0,33,32,28,35,77,65,37
"Transport","South Korea","Exports of Services (Euro Million)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Transport","South Korea","Imports of Services (Euro Million)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Transport","Luxembourg","Exports of Services (Euro Million)",0,0,0,0,0,0,0,0,0,0,0,0,8,8
"Transport","Luxembourg","Imports of Services (Euro Million)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Transport","Netherlands","Exports of Services (Euro Million)",0,0,0,5,8,8,8,7,8,8,7,4,169,171
"Transport","Netherlands","Imports of Services (Euro Million)",0,0,0,47,58,54,40,39,41,39,48,37,36,40
"Transport","Sweden","Exports of Services (Euro Million)",0,0,0,0,0,0,0,0,0,0,0,0,209,286
"Transport","Sweden","Imports of Services (Euro Million)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Transport","Taiwan, Province of China","Exports of Services (Euro Million)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Transport","Taiwan, Province of China","Imports of Services (Euro Million)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Transport","United States","Exports of Services (Euro Million)",177,168,154,151,169,167,149,162,278,279,335,379,514,633
"Transport","United States","Imports of Services (Euro Million)",365,343,393,330,336,330,0,328,292,303,278,444,620,636
"Transport","South Africa","Exports of Services (Euro Million)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
