"Hides, skins and furskins, raw (21)","Value of Exports (Euro Thousand)",9962,11472,12560,17524,23097,31517,40312,33352,30276,36794,41604,67688,73268,90155,97714,95308,103627,90865,77029,83295,85072,93707,90405,84057,94722,79105,75042,96600,99600,104300,85600,84600,74100,93400,93800,69900,54400,97400,122500,112100,145300,162100,149200,126900,132500
"Oilseeds and oleaginous fruit (22)","Value of Imports (Euro Thousand)",8285,2782,1013,2147,4920,5116,5690,2241,3324,3784,3277,3411,3643,3885,3407,7524,8147,6672,8310,9777,9396,9396,10285,15491,17268,16761,10920,11800,18100,17100,14500,21800,16700,20000,34800,24700,24200,27300,24500,22500,30500,26100,35800,28300,33100
"Oilseeds and oleaginous fruit (22)","Value of Exports (Euro Thousand)",89,48,74,13,69,63,33,253,465,574,2689,4017,7104,2355,3810,6064,3159,8029,5230,2286,381,254,2159,1270,635,1270,1651,800,1200,1200,1700,6300,5200,6600,10300,3500,1300,1900,9200,16500,10900,8800,13400,13800,8100
"Crude rubber, including synthetic and reclaimed rubber (23)","Value of Imports (Euro Thousand)",4395,8095,6273,11255,14307,12070,15537,17375,17549,17642,17743,20224,18311,14820,14759,19071,17350,17666,18005,17141,14094,18157,24760,20951,16253,15872,14221,23400,20100,26600,19300,18100,17000,23400,19400,17000,9500,11300,16000,21300,15400,18500,15400,9600,11400
"Crude rubber, including synthetic and reclaimed rubber (23)","Value of Exports (Euro Thousand)",1804,2684,2136,330,430,292,375,347,387,356,903,546,645,502,879,1393,1315,1328,1738,2666,635,1270,1016,1143,1397,1270,7238,8000,1900,1000,1200,1600,2100,5300,6700,1900,1200,800,1000,600,3400,4200,900,800,1100
"Cork and wood (24)","Value of Imports (Euro Thousand)",29645,49301,27788,43618,49554,57108,78140,74494,88088,72614,73580,83266,69203,68062,70017,78413,98337,111087,84794,93072,85326,131545,119101,127609,175605,218395,231346,294300,275600,267200,328000,362100,395400,412100,416000,230200,122100,125000,107200,101700,99800,127400,156900,156600,162700
"Cork and wood (24)","Value of Exports (Euro Thousand)",437,588,1135,2492,3455,3482,4820,6012,10817,15484,16588,20914,19473,18237,24835,33374,35639,37205,37167,46726,51170,58916,64376,62979,56630,52694,52694,61200,65900,83800,81300,79100,71700,70600,92500,71200,66900,102200,107700,112400,122200,152800,151600,156900,144900
"Pulp and waste paper (25)","Value of Imports (Euro Thousand)",5506,6865,6318,7893,7871,7196,9095,10719,14259,4395,4497,8303,8693,14031,9712,9795,13171,12492,12671,10539,11809,13459,15237,13967,15745,22220,24125,27700,28300,22600,20300,20700,17200,17400,27600,25400,29400,40700,52900,50600,46800,49100,60100,52300,54500
"Pulp and waste paper (25)","Value of Exports (Euro Thousand)",667,1143,1053,2753,3108,2726,4913,4316,1075,1787,1639,2246,2984,2840,2985,4091,6421,6370,4594,4063,2793,3809,7111,5841,6603,5079,7999,13900,12700,18800,23500,36400,46000,51000,58000,59700,46000,60100,53300,52500,52900,60700,60800,65100,73900
"Textile fibres, excluding wool tops, and their wastes (26)","Value of Imports (Euro Thousand)",28504,34925,23568,45457,51040,42187,50984,56554,70411,63528,69300,91021,90822,75462,77227,93712,108824,90823,90122,64757,73518,77962,93072,85834,71613,65011,62979,67600,62200,55100,33400,20400,19900,17800,19600,16800,11200,13800,14400,14100,18800,20600,19200,14500,13400
